wosarticle__doc;wosarticle__di;wosarticle__ti;docauthinst__AU;wosarticle__py;wosarticle__ab
908194;http://dx.doi.org/10.1016/j.geoforum.2017.11.012;"A failed green future: Navajo Green Jobs and energy ""transition"" in the Navajo Nation";Curley, A;2018;"This article considers the Navajo Green Jobs effort of 2009, an attempt to ""transition"" energy production from coal to wind and solar for the largest tribe in the United States, the Navajo Nation. Through ethnographic ""revisits,"" in 2008 and 2013, I argue that Navajo Green Jobs contained two problematic hybrid neoliberal assumptions about governance and development: (1) it decentered governing authority from the tribe to ""the community"" while undermining the legitimacy of the tribal government, and (2) it promoted private entrepreneurship over public investment as the vehicle for energy transition. Ultimately, the Navajo Nation rejected Navajo Green Jobs and re-appropriated its temporal language in order to justify a reinvestment in coal in the form of a new energy company, NTEC. This article concludes that consideration of the spatial and social embedded nature of energy production is vital for understanding energy transitions today."
1026891;http://dx.doi.org/10.1016/j.esd.2018.06.001;An evaluation of the Fondo de Inclusion Social Energetico program to promote access to liquefied petroleum gas in Peru;"Pollard, SL; <br>Pollard, SL; <br>Williams, KN; <br>Williams, KN; <br>O'Brien, CJ; <br>O'Brien, CJ; <br>Winiker, A; <br>Winiker, A; <br>Puzzolo, E; <br>Puzzolo, E; <br>Kephart, JL; <br>Kephart, JL; <br>Fandino-Del-Rio, M; <br>Fandino-Del-Rio, M; <br>Tarazona-Meza, C; <br>Grigsby, MR; <br>Grigsby, MR; <br>Chiang, M; <br>Checkley, W; <br>Checkley, W; <br>Checkley, W";2018;"Introduction: Over 80% of rural households in Peru use solid fuels as their primary source of domestic energy, which contributes to several health problems. In 2016, 6.7 million Peruvians were living in rural areas. The Fondo de Inclusion Social Energetico (FISE) LPG Promotion Program, which began in 2012 and is housed under the Ministry of Energy and Mining, is a government-sponsored initiative aimed at reducing use of solid fuels by increasing access to clean fuel for cooking to poor Peruvian households. Methods: We conducted a mixed methods study incorporating data from publicly available records and reports, a community survey of 375 households in Puno (the province with the largest number of FISE beneficiary households), and in-depth interviews with community members and key stakeholders. We used the Reach, Effectiveness - Adoption, Implementation, Maintenance (RE-AIM) framework to guide our data collection and analysis efforts. In a sample of 95 households, we also measured 48-hour area concentrations and personal exposures to fine particulate matter (PM2.5). Results: The FISE LPG promotion program has achieved high geographical reach; the program is currently serving households in 100% of districts in Peru. Households with access to electricity may be participating at a higher level than households without electricity because the program is implemented primarily by electricity distributors. In a sample of 95 households, FISE beneficiaries experienced a reduction in kitchen concentrations of PM2.5; however, there were no differences in personal exposures, and both kitchen and personal exposures were above the WHO intermediate target for indoor air quality. Among the 375 households surveyed, stove stacking with biomass fuels was reported in >95% of both beneficiary and non-beneficiary households, with fewer than 5% reporting exclusive use. In-depth interviews suggest that the complexity of the enrollment process and access to LPG distribution points may be key barriers to participating in FISE. Conclusion: The FISE LPG Program has achieved high reach and its targeted subsidy and surcharge-based financing structure represent a potentially feasible and sustainable model for other government programs. However, the prevalence of stove stacking among FISE beneficiaries remains high. There is a need for improved communication channels between program implementers and beneficiaries. FISE should also consider expanding the mobile LPG network and community delivery service to reduce physical barriers and indirect costs of LPG acquisition. Finally, increasing the value of LPG vouchers to completely cover one or two tanks a month, or alternatively, introducing behavior change strategies to reduce monthly LPG usage, may facilitate the transition to exclusive LPG use. (C) 2018 Published by Elsevier Inc. on behalf of International Energy Initiative."
1040027;http://dx.doi.org/10.1016/j.forpol.2018.06.007;Impact of the ecological resettlement program on participating decision and poverty reduction in southern Shaanxi, China;"Wang, WL; <br>Wang, WL; <br>Ren, Q; <br>Yu, J";2018;The government of Shaanxi launched an ecological resettlement program in the southern part of the province in 2011 to relocate 2.4 million people by 2020 in order to improve the local ecological conditions and people's livelihoods. Using multi-dimensional poverty index and deprivation score derived from a panel dataset of household surveys and appropriate econometric models, this paper evaluates the program impact on both participating decision and its intended targets. Our results show that the risks encountered by households have a push effect on the resettlement decision, while the opportunities households obtained have a pull effect. Also, farmers who are risk takers are more likely to take part, and the government supports for relocation and skill training have significant effect on the decision. Further, the program has significantly reduced the number of dimensions of households in poverty and the living condition of resettled households and the local environment have been much improved. However, reduction in the deprivation score is not so obvious yet, and the increase of household net income remains small. Important policy implications to and recommendations for this program and other similar policies in and outside of China can be drawn from this study.
1252884;http://dx.doi.org/10.1016/j.erss.2018.04.028;Political economy of energy policy reforms in the gulf cooperation council: Implications of paradigm change in the rentier social contract;Tsai, IT;2018;Member states of the Cooperation Council for the Arab States of the Gulf (the Gulf Cooperation Council (GCC)) are undertaking a number of energy policy reforms to cope with challenges from low oil prices, intensifying regional conflicts, increasing domestic energy consumption and inefficient power generation. This article offers a perspective on energy policy reform and its implications for energy infrastructure in the GCC. It outlines an observed paradigm change in the rentier social contract where energy subsidies - as the key instruments of rent transfer - are been gradually replaced by a premium associated with state-provided jobs. The new paradigm allows efficient and effective distribution of rent to the growing higher-income national population while mitigating the substantial opportunity cost associated with energy subsidies. The paradigm change is being facilitated by the extension of state control from the oil sector to the non-oil energy sector. The article discusses the theoretical implications of the paradigm change and the near-term institutional setting of energy infrastructure development in the GCC.
1586268;http://dx.doi.org/10.1016/j.esd.2018.04.001;Reforming capital subsidy scheme to finance energy transition for the below poverty line communities in rural India;"Yadav, P; <br>Davies, PJ; <br>Abdullah, S";2018;India's rural poor are caught in a downward energy poverty cycle with either a lack of access to modem energy sources or reliable grid electricity supply. Overcoming these barriers will require strategies that account for extremely low levels of income, lack of access to finance, poor awareness of alternative energy technologies and deficient post-installation service on solar home systems (SHSs). Our study is novel in examining reasons accounting for the slow adoption of SHSs in rural areas from the perspective of a rural (Grameen) bank. We reveal current government energy policies especially SHS subsidy scheme, largely exclude those below the poverty line. This self-induced socioeconomic barrier, in turn, limits the involvement of the banking sector who report additional barriers including higher lending costs and financial risks coupled with internally restrictive lending practices. We propose a revised framework the Rural Energy Transformation through Pro-Poor Subsidy to support an SHS capital subsidy scheme which specifically includes below poverty line households, and incorporates an electronic subsidy disbursement mechanism designed to improve efficiency and effective delivery between five key actors. These include the National Bank for Agriculture and Rural Development, the Regional Rural Banks and suppliers deploying and maintaining subsidised SHS and the rural households. The framework would establish a contractual partnership between banks and suppliers, and at a policy level would require the government to mandate banks to lend at low margins and offer dedicated subsidy benefits to low-income populations to enable a rural energy transformation. (C) 2018 International Energy Initiative. Published by Elsevier Inc. All rights reserved.
1708553;http://dx.doi.org/10.17323/2500-2597.2018.4.10.19;Integrated Water-Energy Policy for Sustainable Development;"Sklarew, D; <br>Sklarew, J";2018;Numerous studies indicate the close interdependence between the water and energy industries, given that energy production is usually characterized by high water consumption while increasing water availability requires significant energy costs. The integration of energy and water policies at the global and national levels is seen as a tool for achieving sustainable development goals. The paper analyzes the opportunities for countries to ensure equal access to clean water and electricity provided by such integration. The case studies of India, Ghana, and Morocco illustrate how to achieve success when applying the nexus approach to water and energy policies. This study offers unique contributions by providing a pioneering analysis of the relationship between global goals for energy and water access and national governments' abilities to develop synergistic energy and water policies. The proposed approach to integrating energy and water use could be applied to the full range of sustainable development goals and will be crucial for the success of countries in their implementation.
1948973;http://dx.doi.org/10.23919/PICMET.2018.8481879;Analysis of social and economic impacts of a community revitalization program using renewable energy;Mitsumori, Y.;2018;In the wake of the Great East Japan Earthquake of March 2011 (called 3/11 in Japan), the government of Japan drastically changed its energy policy and the use of renewable energy is an urgent matter in Japan today. Among the variety of renewable energy sources, small hydropower plants are gaining attention because they do not require the construction of a large dam, do not emit greenhouse gases, do not require any raw materials, produce energy continuously, and are suitable for many potential sites in Japan. This study focused on the Futagawa Small Hydropower Plant in the town of Aridagawa, Wakayama Prefecture, Japan, and analyzed the impacts of a community revitalization program utilizing revenues from the small hydropower plant. Aridagawa constructed this small hydropower plant to utilize discharge water from Futagawa Dam (0.7 tonnes per second). By utilizing a feed-in-tariff scheme, Aridagawa will sell electricity produced at the hydropower plant to the local utility company (Kansai Electric Power Co.). The town is scheduled to recover the entire construction cost of the plant within seven years, an unusually short amount of time. The town plans to utilize the revenues from the sale of electricity to fund renewable energy education programs for citizens and to develop renewable energy promotion activities. © 2018 Portland International Conference on Management of Engineering and Technology, Inc. (PICMET).
1950654;;The impact of fossil energy subsidies on social cost in indonesia;"Sasana, H.; <br>Salman, F.; <br>Suharnomo-Suharnomo; <br>Nugroho, S.B.M.; <br>Edy Yusuf, A.G.";2018;Subsidies for energy have driven the consumption of fossil energy to increase sharply. The increased use of fossil energy will increase social costs and negatively affect the environment. This study investigated the impact of fossil energy subsidies on social costs in Indonesia. The analysis used was multiple regression using secondary data from the World Bank and Ministry of Finance of the Republic of Indonesia. The results of the study showed that energy subsidies and air pollution (CO 2 ) in Indonesia have led to increased social costs. Meanwhile, the use of renewable energy has a negative effect on social costs in Indonesia. © 2018, Econjournals. All rights reserved.
1950661;http://dx.doi.org/10.32479/ijeep.6917;Inequalities in energy transition: The case of network charges in Germany;"Schlesewsky, L.; <br>Winter, S.";2018;The German energy transition and the rising share of renewable energies in electricity generation have led to an increase in network costs and to higher network charges in recent years. We use socioeconomic data in order to investigate distributional effects within the period 2010-2016, and employ three different inequality metrics – the Gini coefficient, the Theil Index and the Atkinson index – all of which unambiguously indicate regressive effects of network charges. Most recently, the three metrics show an increase of economic inequality of at least 0.67% when accounting for network charges. This finding is due to (1) the relative inferiority of electricity, (2) the regressive impact of a fixed component of network charges, (3) considerable regional disparities, and (4) the higher prevalence of prosumers within high-income households. © 2018, Econjournals. All rights reserved.
409796;http://dx.doi.org/10.1016/j.rser.2016.09.090;Turkish challenges for low-carbon society: Current status, government policies and social acceptance;"Yousefi-Sahzabi, A; <br>Unlu-Yucesoy, E; <br>Sasaki, K; <br>Yuosefi, H; <br>Widiatmojo, A; <br>Sugai, Y";2017;"Turkey's rapid economic growth followed by increasing gap between domestic energy production and consumption signifies the large-scale integration of low-carbon and renewable resources into energy system. Turkey's energy demand is increasing and supplying fossil energies such as oil and gas is becoming more challenging due to the lack of domestic hydrocarbon resources. The country is facing two main issues; first, maintaining energy balance and second, handling environmental issues. Nevertheless, Turkey has substantia renewable and low-carbon energy resources with co-benefits for the country's fast growing economy and environmental sustainability. This paper aims to present a comprehensive update on Turkey's renewable am low-carbon energy sector. It reviews not only the current status of the technology, policy and economy, but also provides an insight into the social aspects as well. From a policy point of view, the paper critically discusses, Turkey's energy strategy and perspectives and from the social point of view, the paper argues that there is research gap in recent literature regarding public awareness and social acceptance of low-carbon energy, technologies. Also, the future challenges for promoting low-carbon society in Turkey are discussed in terms of sustainable development and socio-environmental conditions."
767977;http://dx.doi.org/10.1016/j.enpol.2017.07.047;Distributional effects of higher natural gas prices in Russia;Orlov, A;2017;This paper analyses the distributional effects of eliminating the implicit subsidy on natural gas consumption in Russia. The analysis is based on a computable general equilibrium model with multiple households and a detailed power generation sector. It is found that using additional government revenues from higher domestic gas prices to increase the income of low- and middle-income households could improve the welfare of these households and alleviate income inequality in Russia, e.g., total private consumption of the poorest decile could increase by 3%. Nevertheless, the most efficient revenue-recycling policy would be to invest in the energy efficiency of buildings, which have the largest energy savings potential in Russia. In the long term, investing in the energy efficiency of buildings could reduce greenhouse gas emissions by 240 million tonnes of CO2 equivalent per year and increase the welfare of low- and middle-income households, e.g., total private consumption of the poorest decile increases by 1%. It is also found that increasing the regulated domestic gas price could lead to windfall profits for non-Gazprom producers. Hence, to increase government revenues, the gas-price reform could be supplemented by an increase in the capital income tax in the gas sector.
769550;http://dx.doi.org/10.1007/s11356-017-8387-9;Public policy performance for social development: solar energy approach to assess technological outcome in Mexico City Metropolitan Area;"Arenas-Aquino, AR; <br>Matsumoto-Kuwabara, Y; <br>Kleiche-Dray, M; <br>Kleiche-Dray, M";2017;Mexico City Metropolitan Area (MCMA) is the most populated urban area in the country. In 2010, MCMA required 14.8% of total energy domestic demand, but greenhouse gas emissions accounted for 7.7% of domestic emissions. Mexico has massive renewable energy potential that could be harnessed through solar photovoltaic (PV) technology. The problem to explore is the relationship between local and federal public strategies in MCMA and their stance on energy transition concern, social empowerment, new technology appropriation, and the will to boost social development and urban sustainability. A public policy typology was conducted through instruments of State intervention approach, based on political agenda articulation and environmental local interactions. Social equality is encouraged by means of forthright funding and in-kind support and energy policies focus on non-renewable energy subsidies and electric transmission infrastructure investment. There is a lack of vision for using PV technology as a guiding axis for marginalized population development. It is essential to promote economic and political rearrangement in order to level and structure environmental governance. It is essential to understand people's representation about their own needs along with renewable energy.
795044;http://dx.doi.org/10.1016/j.jeem.2017.03.003;Jobs and climate policy: Evidence from British Columbia's revenue-neutral carbon tax;Yamazaki, A;2017;This paper examines the employment impact of British Columbia's revenue-neutral carbon tax implemented in 2008. While all industries appear to benefit from the redistributed tax revenues, the most carbon-intensive and trade-sensitive industries see employment fall with the tax, while clean service industries see employment rise. By aggregating across industries I find the BC carbon tax generated, on average, a small but statistically significant 0.74 percent annual increases in employment over the 2007-2013 period. This paper provides initial evidence showing how a revenue-neutral carbon tax may not adversely affect employment. (C) 2017 Elsevier Inc. All rights reserved.
818751;http://dx.doi.org/10.1177/1464993416688837;Energy Poverty, Institutional Reform and Challenges of Sustainable Development: The Case of India;"Jewitt, S; <br>Raman, S; <br>Raman, S";2017;This article(1) assesses recent efforts by the Indian government to tackle energy poverty and sustainable development. It focuses on the new integrated energy policy and initiatives to disseminate improved cookstoves and develop energy alternatives for transport. The success of government initiatives in cleaner biomass cookstoves and village electrification has historically been limited, and institutional reforms in the 2000s promoted market-led and user-centred' approaches, and encouraged biofuels as a pro-poor' route to rural development and energy security. The article argues that such interventions have reopened tensions and conflicts around land-use, intra-community inequalities and the role of corporate agendas in sustainable energy.
858911;;Session N2: Creative strategies for sourcing renewable energy energy transition-case study in renewable energy electricity and electro-mobility;Zawaydeh, S.;2017;Sustainable energy is available in different forms at countries throughout the world. Development of the available renewable energies from solar, wind, geothermal, hydro and tidal will improve the energy security at oil importing countries. It will also create jobs, and a continuous supply chain of supporting industries to design, finance, procure, manufacture, manage, construct, commission, educate, and maintenance of these new clean technologies. This paper will cover the status of development of sustainable energy from renewable energy sources in MENA region and will concentrate on the successful case study in Jordan. The development of the regulatory system started after the oil crisis in 2008 with the issuing of the renewable energy and energy efficiency law in 2012. The economic, environmental and social impacts from using renewable energy will be presented. And the learning lessons from adopting different strategies to achieve the targets of renewable energy in the energy mix will be discussed. These learning lessons can be implemented locally at similar oil importing countries to improve energy resilience, energy security, and contribute to global climate change adaptation efforts.
859735;http://dx.doi.org/10.1051/nss/2017052;Fuel poverty and ecological taxation: A retrospective look at the French green check failed experience;"Missemer, A.; <br>Swaton, S.";2017;At the end of the 2000s, a green check system was developed in France to correct distortions resulting from the introduction of the carbon tax. One of these distortions was the development of fuel poverty. This paper starts by giving a multi-dimensional definition of this poverty, insisting on the structural factors (accommodation, transport) that account for the energy vulnerability of households. We show that this French green check, which consisted chiefly in a monetary compensation provided, with modulation, to all households was an injudicious solution to address fuel poverty. The reason was its inadequate calibration as regards the structural dimensions of fuel poverty. Most of the new versions of the green check developed around 2010 still missed the target by ignoring some structural dimensions of fuel poverty, or by multiplying the policy goals with insufficient means. Looking back on these experiences, we contend that the main problems do not result from the green check itself, but rather from the lack of proper indicators to define and measure fuel poverty, in particular regarding its structural dimensions. Circumstantial and local public policies, as some of them are being now developed, might be useful to better delineate fuel poverty and to assess the accuracy of national-based ecological taxation in addressing these phenomena. © 2017 NSS-Dialogues, EDP Sciences.
866837;http://dx.doi.org/10.1016/j.trpro.2017.05.495;Sustainable development synergies and their ability to create coalitions for low-carbon transport measures;Lah, O.;2017;Many low-carbon transport strategies can help achieve other economic, social and environmental objectives. These include improving access to mobility, reducing traffic and parking congestion, saving consumers money, supporting economic development, increasing public health and safety, and reducing air and noise pollution. Based on Avoid-Shift-Improve approaches and case studies from Germany, Colombia, India and Singapore, this paper shows that low-carbon transport generates significant and quantifiable benefits that can create a basis for political and societal coalitions. Estimates suggest that currently available and cost effective measures can reduce transport Greenhouse Gas emissions by 40-50% compared to 2010. Yet, a number of barriers affect the optimal exploitation of this potential. Considering the possible economic, social and environmental benefits of sustainable transport, the shift towards a low-carbon pathway of this sector can be a win-win situation for climate protection and local development goals. This paper aims to make a contribution to understand these opportunities by highlighting the linkages between objectives, presenting case studies, facts and figures. The paper will also explore assessment methodologies and tools that can help practitioners to assess sustainable development benefits (SDB) and providing evidence for policy-makers to make more informed decisions on transport investments and polices. © 2017 The Authors. Published by Elsevier B.V.
1661834;http://dx.doi.org/10.1007/s40622-017-0159-3;Universal access to clean cooking energy and the need for an inclusive policy: evidence from analysis of cooking fuel use in Odisha and Tamil Nadu;"Manjula, M; <br>Gopi, G";2017;This paper briefly maps the existing policies on clean cooking fuel and examines the achievements to increase the coverage of clean energy for cooking in India and emphasizes the need to go beyond the 'price' and 'income' criteria in targeting universal access to clean fuel for cooking. By undertaking a comparative analysis of cooking fuel use patterns across two states, differentiated in terms of key economic parameters, this paper highlights policies that aimed at clean fuel switching in India need to pay attention to social groups, gender and location (rural/urban) to make clean cooking fuel policies more inclusive in order to realize the target of universal access to clean cooking energy. The analysis was carried out across expenditure categories, social groups and female-headed households. The results show wide disparity in clean cooking fuel use across the states as well as across different expenditure categories, social groups and female-headed households and geographical locations within states. The data source for the analysis is the National Sample Survey Organisation and Census.
1950709;http://dx.doi.org/10.3166/ges.19.2017.0013;Energy transition and urban ecological inequalities;"Hamman, P.; <br>Christen, G.";2017;"This paper deals with social inequalities in the relationship to the environment, by looking at the capacity of actors to mobilize around renewable energy initiatives in the context of the energy transition. It is based on field surveys (qualitative and quantitative) on an urban scale, conducted between 2012 and 2015 in the metropolitan area of Strasbourg. We show that the emphasis on resident involvement masks the reality of rather prescriptive ""eco-innovations""; and that the differentiated relations of the inhabitants to the technical tools meant to materialize renewable energy reveal ecological inequalities that reinforce socio-economic division in the city. © 2017 Lavoisier, Paris. Tous droits réservés."
126355;http://dx.doi.org/10.1177/1440783315584209;Climate change and the welfare state? Exploring Australian attitudes to climate and social policy;"Spies-Butcher, B; <br>Stebbing, A";2016;Despite growing evidence of significant impacts from human-induced climate change, policy responses have been slow. Understanding this policy inertia has led to competing explanations, which either point to the need to build a consensual politics separated from economic partisanship, or which encourage solidarities between environmental and social movements and issues. This article analyses a recent successful mobilisation, leading to the passage of the Clean Energy Act in Australia, to explore the relationship between attitudes to environmental and social protection, particularly among the core constituency in favour of stronger climate action. Using social survey data from the Australian Election Study, the article finds evidence of independent associations between prioritising environmental concerns and support for welfare state expansion, and a realignment of materialist and post-materialist values. This we argue is consistent with Polanyian analysis that posits a link between social and environmental causes based on resistance to commodification.
